zmean,alpha,kb,b0,D_ell_2033,D_ell_4093,D_ell_6153,D_ell_8213,D_ell_10273
7.919,0.8121,1.6,0.4629,1.286,1.132,0.8244,0.667,0.6563
7.966,0.8134,1.119,0.1457,0.6005,0.4743,0.3122,0.2337,0.2202
7.79,0.5362,1.03,0.7237,1.983,1.759,1.356,1.129,1.121
8.304,0.4218,1.99,0.7365,2.299,2.167,1.709,1.458,1.447
7.425,0.3975,0.9548,0.3644,1.053,0.9257,0.7035,0.5794,0.5835
7.983,0.7652,0.2209,0.3032,0.7507,0.5223,0.3331,0.2362,0.2238
7.852,0.4809,1.867,0.3935,1.315,1.181,0.9114,0.7624,0.7584
7.653,0.2412,1.294,0.7494,2.018,1.979,1.642,1.401,1.43
8.44,0.7023,0.988,0.3919,1.324,1.111,0.7866,0.6164,0.5848
7.466,0.7706,1.088,0.7899,1.913,1.586,1.187,0.989,0.9644
7.415,0.7985,0.9756,0.1804,0.6126,0.4722,0.3163,0.2438,0.237
7.088,0.4181,0.7122,0.3143,0.8937,0.743,0.5633,0.4559,0.4599
8.755,0.1823,1.09,0.157,0.8593,0.7394,0.5169,0.4084,0.386
8.298,0.6009,1.187,0.5025,1.513,1.322,1.025,0.832,0.8162
7.242,0.3285,1.043,0.732,1.968,1.817,1.446,1.269,1.289
8.626,0.7314,1.198,0.5311,1.639,1.418,1.042,0.8346,0.814
7.375,0.6262,0.838,0.5209,1.473,1.17,0.8557,0.6905,0.6937
7.739,0.1685,0.6767,0.6731,1.854,1.794,1.453,1.272,1.279
7.192,0.886,0.165,0.7939,1.19,0.6877,0.4362,0.3251,0.3122
8.858,0.4324,1.864,0.1475,0.8583,0.7237,0.5213,0.4033,0.3832
8.686,0.6295,0.9585,0.5947,1.91,1.616,1.169,0.9508,0.8999
7.041,0.3958,1.936,0.7025,1.504,1.472,1.212,1.058,1.081
8.727,0.8055,1.439,0.5476,1.769,1.559,1.151,0.9209,0.8892
8.682,0.4434,1.29,0.7838,2.512,2.341,1.855,1.556,1.491
8.321,0.1178,0.7252,0.101,0.5793,0.5232,0.3695,0.2906,0.2823
7.226,0.5863,0.653,0.1904,0.5538,0.444,0.317,0.2485,0.2456
7.379,0.5613,0.3895,0.3018,0.7073,0.5683,0.3876,0.3113,0.3047
7.837,0.3567,1.603,0.7084,1.986,1.921,1.539,1.321,1.331
8.732,0.7626,1.302,0.5286,2.182,1.834,1.335,1.062,1.005
7.318,0.2679,1.876,0.224,0.6302,0.608,0.472,0.3899,0.4012
7.06,0.7573,0.5737,0.7214,1.453,1.118,0.787,0.6242,0.6353
7.948,0.4035,0.1847,0.3884,0.9729,0.7762,0.5398,0.4281,0.4168
7.3,0.8385,0.7526,0.6001,1.391,1.076,0.7557,0.6028,0.5918
8.881,0.6919,0.3598,0.5985,1.881,1.357,0.9192,0.7022,0.6587
7.113,0.8404,0.4159,0.3118,0.6935,0.4898,0.3232,0.2456,0.2387
8.282,0.6658,1.579,0.5899,1.665,1.521,1.174,0.9758,0.9559
7.629,0.4392,0.5357,0.3111,0.9408,0.8006,0.5828,0.4745,0.4676
7.948,0.1214,1.186,0.6469,1.776,1.776,1.521,1.328,1.354
7.9,0.4423,1.863,0.6609,2,1.805,1.447,1.213,1.207
7.845,0.176,0.4776,0.2178,0.7762,0.7021,0.5242,0.4315,0.4277
7.824,0.6076,1.611,0.3495,1.15,1.003,0.757,0.6065,0.6005
8.505,0.4244,0.1894,0.7968,1.791,1.439,1.053,0.8414,0.8258
7.478,0.2033,0.4482,0.248,0.8158,0.7141,0.5479,0.458,0.4579
7.186,0.3512,1.546,0.7845,1.795,1.731,1.441,1.256,1.27
8.984,0.8203,0.7556,0.3892,1.433,1.117,0.7641,0.5712,0.5258
8.678,0.3069,0.3024,0.325,1.036,0.9024,0.6546,0.5246,0.4969
8.975,0.4781,0.5284,0.7386,2.083,1.816,1.324,1.084,1.048
8.906,0.818,0.3096,0.7773,2.087,1.398,0.9176,0.6815,0.6374
7.711,0.3539,1.639,0.4785,1.494,1.422,1.125,0.9247,0.9331
8.224,0.515,1.84,0.4761,1.642,1.516,1.15,0.9566,0.9308
8.074,0.4617,0.3654,0.4048,1.161,0.9293,0.6519,0.5213,0.501
7.864,0.7213,1.034,0.7506,1.948,1.676,1.246,1.014,0.9927
8.576,0.4874,1.18,0.5041,1.713,1.511,1.144,0.9331,0.9016
7.364,0.2076,0.4847,0.365,1.094,0.9771,0.7609,0.6278,0.6383
8.647,0.3159,1.11,0.2739,1.154,1.047,0.7796,0.6362,0.6166
8.533,0.8209,1.064,0.748,2.383,1.928,1.416,1.136,1.082
7.614,0.5897,1.148,0.4887,1.388,1.209,0.9027,0.7522,0.7507
8.493,0.2301,0.5544,0.2232,0.9208,0.8571,0.6366,0.5145,0.5024
7.031,0.1298,1.898,0.4074,1.044,1.003,0.8374,0.7286,0.7556
8.843,0.281,1.282,0.2199,0.9948,0.9144,0.6771,0.5374,0.5164
7.324,0.899,0.5643,0.7431,1.696,1.226,0.8311,0.6533,0.6365
7.588,0.7488,1.1,0.7575,1.835,1.579,1.184,0.9772,0.9614
7.541,0.5172,1.005,0.1261,0.4561,0.3827,0.2631,0.202,0.1966
7.182,0.8363,1.771,0.7973,2.034,1.763,1.385,1.134,1.132
8.095,0.4971,1.674,0.3187,1.02,0.9339,0.7155,0.5715,0.5716
8.461,0.8635,1.296,0.3911,1.253,1.053,0.749,0.5851,0.5591
7.704,0.6367,0.3773,0.16,0.5022,0.3898,0.2522,0.1879,0.1776
7.763,0.3642,1.66,0.4225,1.226,1.183,0.934,0.8005,0.7975
7.188,0.1574,1.154,0.4446,1.135,1.135,0.9398,0.8001,0.818
7.803,0.5546,0.5096,0.539,1.481,1.187,0.8485,0.6713,0.6481
7.697,0.4758,0.5047,0.2078,0.8007,0.6549,0.4539,0.3532,0.3457
8.602,0.5139,0.2031,0.4894,1.164,0.9274,0.6408,0.4878,0.4713
7.723,0.898,0.256,0.3552,0.7794,0.4994,0.3131,0.2311,0.215
8.331,0.6379,1.235,0.5915,1.971,1.691,1.262,1.031,1.005
8.61,0.7659,1.712,0.757,2.223,2.018,1.55,1.277,1.209
8.708,0.2257,1.885,0.304,1.114,1.068,0.8286,0.6913,0.6823
7.32,0.4593,0.479,0.469,1.294,1.057,0.7635,0.6296,0.6255
7.514,0.6877,0.4752,0.6412,1.448,1.085,0.7697,0.6107,0.5998
8.746,0.3456,0.4382,0.4109,1.324,1.163,0.8567,0.7008,0.6802
7.512,0.7253,1.787,0.7603,1.962,1.781,1.376,1.137,1.154
7.575,0.8262,0.129,0.3394,0.6425,0.4088,0.2474,0.1787,0.1644
8.763,0.2132,1.428,0.1099,0.6183,0.5747,0.4058,0.316,0.3001
8.655,0.5587,1.714,0.6024,1.939,1.772,1.393,1.132,1.126
7.106,0.403,1.141,0.6454,1.512,1.395,1.111,0.9652,0.975
7.807,0.8108,0.1122,0.6382,0.9266,0.5789,0.3513,0.2611,0.2451
8.055,0.1939,1.278,0.7637,2.226,2.132,1.804,1.544,1.548
8.793,0.5296,1.942,0.1689,0.8438,0.7371,0.536,0.4129,0.388
8.823,0.3883,1.821,0.3797,1.455,1.358,1.05,0.8605,0.8291
8.946,0.5636,1.968,0.4853,1.634,1.553,1.206,1.002,0.9562
7.564,0.1595,1.516,0.5625,1.689,1.641,1.353,1.171,1.201
7.49,0.2235,1.133,0.5928,1.598,1.494,1.229,1.061,1.09
7.361,0.1719,1.981,0.4125,1.305,1.229,1.008,0.8534,0.8803
8.028,0.7639,1.128,0.4902,1.471,1.243,0.9095,0.7224,0.7108
8.784,0.3228,0.8729,0.3828,1.19,1.146,0.871,0.7153,0.7094
7.681,0.5849,0.8226,0.5367,1.577,1.322,0.9567,0.774,0.7598
7.868,0.8588,0.9972,0.2289,0.7421,0.597,0.4009,0.3095,0.299
8.141,0.1047,0.8024,0.7059,2.061,2.009,1.643,1.438,1.461
8.41,0.5025,0.8808,0.6607,1.955,1.719,1.319,1.087,1.055
8.738,0.7289,1.098,0.5719,2.004,1.714,1.241,1.009,0.9479
8.741,0.6467,0.3116,0.6064,1.734,1.269,0.8529,0.6543,0.6168
7.423,0.1585,0.6696,0.5561,1.331,1.304,1.084,0.9424,0.9612
7.45,0.5837,0.6347,0.5484,1.497,1.221,0.8897,0.7237,0.7103
7.232,0.5989,0.8276,0.4228,1.068,0.8902,0.6538,0.5313,0.5276
7.956,0.4615,1.532,0.1428,0.825,0.684,0.4808,0.3794,0.3654
7.656,0.1079,0.1342,0.5073,1.362,1.262,1.02,0.8752,0.8863
8.943,0.5574,0.6868,0.6058,2.12,1.74,1.287,1.021,0.9853
7.648,0.1048,0.5443,0.5831,1.799,1.728,1.41,1.232,1.25
7.794,0.5084,1.016,0.2374,0.7491,0.6754,0.4779,0.3838,0.3794
7.705,0.7863,1.323,0.4454,1.228,1.074,0.7747,0.6271,0.618
7.119,0.7411,0.414,0.3691,0.883,0.6374,0.4263,0.3317,0.3276
8.016,0.374,1.58,0.4089,1.355,1.254,0.9685,0.8201,0.8051
7.305,0.8157,1.594,0.1177,0.5244,0.4052,0.2809,0.2141,0.2075
7.93,0.8085,1.944,0.7825,2.129,1.911,1.486,1.221,1.217
8.072,0.4511,1.468,0.3663,1.195,1.074,0.8184,0.6757,0.67
7.72,0.7186,0.6779,0.3047,0.9791,0.7568,0.5142,0.3981,0.3906
8.008,0.6135,1.252,0.4594,1.405,1.199,0.8948,0.7302,0.7212
7.644,0.2336,1.565,0.6955,1.829,1.774,1.479,1.293,1.291
7.194,0.8738,1.056,0.4836,1.183,0.979,0.6983,0.557,0.5537
8.753,0.5166,0.3341,0.6616,1.72,1.404,1.011,0.7976,0.7569
7.687,0.4502,0.7774,0.2531,0.7491,0.6485,0.4736,0.3787,0.375
8.288,0.2737,0.6461,0.6688,1.826,1.728,1.391,1.178,1.167
8.529,0.3008,1.805,0.5785,1.834,1.792,1.418,1.228,1.207
8.089,0.8701,0.3574,0.4663,1.161,0.8216,0.5329,0.3886,0.3692
7.601,0.691,1.149,0.124,0.5089,0.4252,0.2881,0.2222,0.214
7.123,0.2638,0.3682,0.7347,1.572,1.457,1.151,0.9804,0.9993
8.041,0.3665,1.26,0.4008,1.299,1.175,0.9143,0.7663,0.7558
7.907,0.1859,0.933,0.4022,1.393,1.28,1.014,0.8514,0.866
8.517,0.8321,0.2449,0.4996,1.208,0.823,0.5173,0.3798,0.3469
7.608,0.1796,0.8972,0.7545,1.975,1.931,1.619,1.415,1.455
8.018,0.1425,1.949,0.1031,0.5204,0.4626,0.3291,0.2571,0.2489
7.007,0.239,0.2083,0.2839,0.8469,0.7076,0.5146,0.4288,0.434
8.119,0.1014,1.225,0.6582,1.889,1.886,1.593,1.401,1.416
7.393,0.6939,1.334,0.5567,1.509,1.342,1.001,0.8264,0.8235
7.339,0.7235,1.578,0.3352,1.097,0.9007,0.6554,0.5259,0.5261
8.393,0.8311,0.9485,0.1333,0.6455,0.5291,0.3353,0.247,0.225
8.914,0.4569,1.199,0.1607,0.799,0.6835,0.4826,0.3785,0.3555
8.16,0.4101,1.912,0.308,1.204,1.076,0.8136,0.6621,0.6621
7.158,0.3447,0.4984,0.3482,0.8615,0.7536,0.5626,0.4692,0.4738
7.905,0.4414,1.585,0.1787,0.715,0.6235,0.4465,0.3589,0.3456
8.838,0.7159,1.79,0.7377,2.351,2.137,1.639,1.343,1.312
8.202,0.6989,0.6515,0.7398,1.981,1.629,1.175,0.9392,0.91
8.497,0.6499,0.6648,0.7249,2.215,1.769,1.293,1.02,0.9817
8.414,0.8886,0.7688,0.2895,1.066,0.7898,0.5185,0.3882,0.3611
8.387,0.402,0.9158,0.6505,1.941,1.781,1.373,1.15,1.122
7.889,0.3685,1.52,0.1841,0.8426,0.7316,0.5072,0.4082,0.3974
8.146,0.4012,0.7932,0.765,2.203,1.968,1.519,1.294,1.262
8.806,0.8799,1.671,0.2344,1.007,0.8557,0.5928,0.4396,0.413
8.464,0.8819,1.867,0.2854,1.121,0.9083,0.6415,0.504,0.4822
7.409,0.6723,1.962,0.4582,1.151,1.065,0.8249,0.6857,0.6914
7.04,0.4197,0.7941,0.1423,0.4577,0.3922,0.2742,0.2206,0.2207
7.566,0.4531,0.5056,0.4541,1.313,1.047,0.7721,0.629,0.6268
8.939,0.2155,1.842,0.4262,1.502,1.468,1.183,0.991,0.984
8.373,0.2698,1.306,0.5015,1.588,1.557,1.214,1.046,1.038
8.781,0.7367,1.53,0.6135,1.754,1.598,1.225,0.9886,0.9494
7.993,0.1762,0.4128,0.7054,2.017,1.861,1.521,1.295,1.318
7.77,0.6515,1.984,0.7294,1.98,1.792,1.402,1.178,1.167
7.358,0.4142,1.61,0.6271,1.821,1.693,1.324,1.15,1.159
8.021,0.2102,1.827,0.5584,1.742,1.689,1.366,1.187,1.17
8.358,0.6042,1.152,0.4879,1.472,1.322,0.9934,0.8133,0.7896
8.58,0.7931,0.9638,0.7372,2.159,1.754,1.27,1.022,0.9706
7.48,0.2766,0.4589,0.4192,1.257,1.093,0.8218,0.6804,0.6889
8.839,0.7106,1.201,0.7829,2.533,2.255,1.7,1.383,1.338
8.118,0.8716,0.4182,0.5093,1.406,0.9643,0.6415,0.4803,0.4522
7.82,0.4838,0.3881,0.3343,0.9652,0.7575,0.5312,0.4153,0.4055
7.505,0.5821,0.9763,0.5176,1.34,1.166,0.8739,0.714,0.715
8.639,0.8464,0.7678,0.2686,0.8549,0.7206,0.4745,0.3519,0.3343
7.038,0.2972,0.6938,0.4423,1.251,1.123,0.8822,0.7495,0.7636
8.246,0.4338,0.9187,0.5344,1.831,1.594,1.211,0.9988,0.9774
8.936,0.4489,1.526,0.6667,2.256,2.129,1.71,1.396,1.352
7.198,0.8766,1.124,0.6661,1.55,1.27,0.919,0.7486,0.7446
8.849,0.6476,1.023,0.4295,1.719,1.417,1.013,0.8112,0.7636
8.565,0.731,1.508,0.5701,1.725,1.514,1.134,0.932,0.9018
8.01,0.7026,0.6563,0.3869,1.245,0.9196,0.6333,0.4976,0.4811
8.173,0.7802,1.136,0.3686,1.201,1.011,0.7027,0.5408,0.5197
7.4,0.1172,1.05,0.2767,0.8792,0.809,0.6415,0.5481,0.5512
8.499,0.263,0.8532,0.7846,2.215,2.136,1.703,1.468,1.446
8.634,0.339,0.9964,0.1046,0.6404,0.5275,0.3582,0.2694,0.2487
7.598,0.324,1.206,0.5789,1.623,1.555,1.219,1.039,1.057
8.426,0.2136,1.237,0.7711,2.469,2.323,1.902,1.659,1.622
8.26,0.4299,1.756,0.6028,1.78,1.702,1.343,1.157,1.152
8.428,0.5617,1.337,0.5471,1.745,1.579,1.187,0.9723,0.9351
7.521,0.3556,1.948,0.1616,0.5949,0.5284,0.3952,0.3221,0.3251
8.575,0.2092,1.568,0.3742,1.413,1.289,1.035,0.8556,0.8533
7.696,0.865,1.893,0.3637,1.23,1.054,0.7687,0.6166,0.5996
8.171,0.2561,0.9289,0.6709,1.887,1.845,1.474,1.25,1.246
7.386,0.6507,1.913,0.5775,1.445,1.341,1.045,0.8878,0.8966
7.216,0.7397,0.5894,0.1729,0.4909,0.3781,0.2455,0.1878,0.1829
8.176,0.737,1.816,0.1371,0.6595,0.5404,0.3724,0.277,0.2606
7.51,0.3516,0.5857,0.4328,1.489,1.217,0.9223,0.758,0.7459
8.863,0.8028,1.677,0.2393,1.096,0.9079,0.6287,0.4851,0.452
7.766,0.4577,0.1554,0.4962,1.284,0.9149,0.6383,0.5,0.4796
8.857,0.7345,0.9562,0.6961,2.051,1.774,1.303,1.048,0.994
7.674,0.7001,1.779,0.7554,1.964,1.8,1.415,1.172,1.166
7.076,0.488,1.495,0.4249,1.24,1.089,0.8698,0.7233,0.7372
8.596,0.3038,1.514,0.227,0.9631,0.8596,0.6496,0.5266,0.5092
8.817,0.5049,0.6809,0.3786,1.413,1.182,0.833,0.6731,0.6354
7.745,0.4349,0.1713,0.5705,1.254,0.9846,0.6828,0.5421,0.5296
8.694,0.287,0.913,0.141,0.7919,0.6495,0.4593,0.3496,0.3304
7.325,0.4872,0.2535,0.7103,1.45,1.148,0.814,0.6677,0.6629
8.564,0.8673,0.3612,0.6845,1.57,1.123,0.7138,0.536,0.4996
8.735,0.2496,0.307,0.5,1.469,1.348,1.039,0.8744,0.8463
7.68,0.3,1.871,0.612,1.611,1.541,1.268,1.106,1.117
7.495,0.6676,1.955,0.6433,1.548,1.427,1.119,0.9495,0.9525
8.992,0.5129,1.183,0.2343,1.01,0.8942,0.6536,0.5152,0.4905
8.197,0.6277,1.125,0.4866,1.585,1.351,0.9885,0.8015,0.7743
