zmean,alpha,kb,b0,D_ell_2033,D_ell_4093,D_ell_6153,D_ell_8213,D_ell_10273
8.001,0.788,1.54,0.1662,0.6765,0.5731,0.3995,0.305,0.2918
7.831,0.7582,1.63,0.6199,1.907,1.641,1.252,1.014,0.9947
8.89,0.2545,1.483,0.3563,1.289,1.225,0.9744,0.8089,0.7856
8.883,0.6859,1.286,0.5256,1.73,1.513,1.151,0.9236,0.8731
7.485,0.704,0.8392,0.2699,0.8444,0.6907,0.4871,0.3899,0.38
7.266,0.7961,1.735,0.4337,1.104,0.9505,0.701,0.5831,0.5777
8.662,0.2161,0.3461,0.6725,2.265,2.109,1.63,1.365,1.338
7.828,0.3173,0.8566,0.4122,1.182,1.069,0.8243,0.6924,0.6912
7.658,0.2536,1.37,0.1743,0.6774,0.6253,0.4784,0.3917,0.3931
8.825,0.6975,1.349,0.5339,1.71,1.536,1.146,0.9343,0.9097
8.268,0.8274,1.859,0.7779,2.19,1.989,1.485,1.255,1.198
7.897,0.8926,1.917,0.6524,1.742,1.575,1.237,1.004,0.989
8.004,0.7206,0.9988,0.197,0.7351,0.5941,0.4048,0.3088,0.301
8.265,0.1377,1.213,0.3952,1.428,1.348,1.076,0.93,0.92
8.205,0.8571,1.535,0.3815,1.308,1.107,0.7947,0.6155,0.6022
7.473,0.5377,1.504,0.393,1.062,0.9689,0.7359,0.6236,0.6248
7.042,0.8724,0.4551,0.313,0.7316,0.4991,0.3314,0.2515,0.2514
8.818,0.2954,1.001,0.3066,1.162,1.063,0.8249,0.6693,0.6585
8.264,0.4789,0.5621,0.1195,0.7835,0.5719,0.3744,0.278,0.2591
7.873,0.1803,0.4937,0.7596,1.913,1.849,1.507,1.296,1.323
7.428,0.5187,1.454,0.1714,0.5923,0.4994,0.3619,0.2909,0.2888
7.107,0.4402,0.7201,0.3576,0.9743,0.8403,0.6129,0.5078,0.5137
7.497,0.8837,0.7399,0.6586,1.46,1.167,0.8371,0.6638,0.6436
8.657,0.8612,0.9465,0.4754,1.549,1.255,0.8888,0.6863,0.6537
8.431,0.6892,1.101,0.3141,1.098,0.9075,0.6481,0.5205,0.5013
8.869,0.8671,0.4858,0.7682,2.156,1.578,1.06,0.8059,0.7504
7.992,0.5424,1.556,0.5804,1.674,1.492,1.178,0.9853,0.9931
7.737,0.4905,0.9198,0.7998,2.197,1.937,1.505,1.253,1.238
7.833,0.4238,0.1195,0.4953,1.081,0.8207,0.5787,0.4566,0.441
7.937,0.1868,0.8832,0.1174,0.5258,0.4837,0.3506,0.2789,0.273
8.76,0.5653,0.8828,0.428,1.463,1.255,0.9189,0.7326,0.7011
7.203,0.1003,0.8289,0.225,0.7497,0.6985,0.5401,0.4631,0.471
8.347,0.7195,1.281,0.4935,1.446,1.278,0.9427,0.7614,0.7366
7.018,0.5291,1.46,0.3332,0.9575,0.8496,0.6369,0.5245,0.5328
7.493,0.8899,0.6181,0.2649,0.7449,0.557,0.3724,0.2855,0.2694
7.262,0.6752,1.398,0.4776,1.234,1.078,0.8139,0.6741,0.676
7.85,0.3132,0.1502,0.4878,1.29,1.024,0.7619,0.6072,0.5958
7.912,0.7325,0.3164,0.2595,0.7516,0.5459,0.361,0.2661,0.2515
8.723,0.2622,1.157,0.5649,2.014,1.826,1.449,1.236,1.227
8.567,0.3679,1.065,0.3162,1.235,1.072,0.7851,0.655,0.6386
8.553,0.4286,1.573,0.2975,1.108,1.015,0.7561,0.6061,0.5931
8.069,0.5308,0.2142,0.6917,1.581,1.185,0.8241,0.6452,0.6308
7.181,0.8617,1.651,0.4642,1.45,1.167,0.8624,0.7061,0.6919
7.797,0.153,0.8002,0.1961,0.7534,0.6864,0.5243,0.4326,0.4412
7.67,0.2187,0.579,0.4135,1.249,1.125,0.8784,0.7306,0.7376
8.129,0.654,1.545,0.4145,1.414,1.216,0.9215,0.7474,0.7396
8.594,0.6268,0.1267,0.6559,1.356,0.9637,0.6367,0.4706,0.4396
7.761,0.5065,0.691,0.1493,0.597,0.465,0.3145,0.2438,0.2356
7.977,0.6233,1.621,0.2634,0.9715,0.8525,0.629,0.5045,0.4961
8.959,0.2327,1.974,0.4963,1.609,1.618,1.315,1.116,1.115
8.103,0.7333,0.4712,0.5127,1.34,1.015,0.6869,0.5333,0.5079
8.7,0.2365,0.813,0.5302,2.143,1.975,1.549,1.283,1.275
8.249,0.6778,0.4324,0.5748,1.753,1.305,0.8798,0.6789,0.6442
7.175,0.6457,0.5392,0.598,1.318,1.054,0.7572,0.6094,0.6081
8.998,0.3527,1.709,0.2807,1.033,0.981,0.7568,0.6244,0.6035
7.559,0.4472,0.5487,0.6018,1.581,1.328,1.003,0.8312,0.8215
8.335,0.3964,1.903,0.3428,1.238,1.172,0.8775,0.7343,0.7292
8.814,0.5567,1.946,0.3246,1.142,1.071,0.8027,0.6468,0.6235
7.474,0.4458,1.489,0.5762,1.671,1.503,1.183,1.003,1.003
7.551,0.8945,0.7083,0.3009,0.8198,0.6252,0.4124,0.3182,0.3076
7.618,0.4797,0.3079,0.2572,0.9135,0.6793,0.4568,0.3524,0.3403
8.22,0.4808,1.351,0.6765,1.933,1.797,1.403,1.171,1.157
7.633,0.4954,1.402,0.676,1.751,1.6,1.247,1.069,1.07
7.753,0.2481,1.75,0.6915,1.839,1.845,1.528,1.326,1.333
8.168,0.1458,0.1546,0.7276,1.821,1.731,1.382,1.184,1.203
8.477,0.2289,0.5713,0.573,1.98,1.826,1.407,1.189,1.183
8.534,0.597,1.33,0.6271,1.909,1.734,1.32,1.08,1.051
7.499,0.3264,1.222,0.7036,1.797,1.744,1.412,1.223,1.252
8.177,0.7336,1.742,0.4837,1.493,1.299,0.9966,0.8211,0.7891
7.458,0.8064,0.6216,0.5714,1.34,1.028,0.7201,0.5638,0.554
8.681,0.2376,1.333,0.3773,1.52,1.391,1.095,0.926,0.8993
8.258,0.251,0.8789,0.7487,2.147,2.008,1.654,1.401,1.395
7.56,0.1347,0.3006,0.7287,1.657,1.622,1.363,1.165,1.183
7.713,0.6357,0.9618,0.2924,0.8468,0.7073,0.5102,0.4069,0.3972
8.5,0.4129,1.529,0.108,0.643,0.5415,0.3676,0.281,0.2657
8.951,0.1158,1.543,0.3287,1.258,1.215,0.9795,0.8245,0.8132
7.996,0.3183,1.93,0.15,0.6176,0.5712,0.4185,0.3447,0.3415
7.334,0.6868,1.766,0.4655,1.228,1.118,0.8508,0.7034,0.7024
8.665,0.2439,1.919,0.7256,2.29,2.238,1.877,1.617,1.619
7.617,0.217,1.695,0.1506,0.6184,0.5455,0.4054,0.3333,0.3284
8.059,0.4083,0.551,0.4547,1.505,1.275,0.9486,0.7758,0.7531
8.827,0.6822,0.5346,0.7929,2.39,1.83,1.312,1.021,0.9823
8.872,0.4527,0.6189,0.2381,1.015,0.8561,0.6036,0.4706,0.4406
7.595,0.3867,1.69,0.2418,0.7788,0.7211,0.5487,0.4445,0.4473
7.195,0.6826,0.8904,0.1836,0.5388,0.4365,0.2996,0.234,0.2339
7.368,0.4353,1.758,0.3376,1.015,0.9171,0.7032,0.5879,0.6019
8.312,0.2281,1.272,0.518,1.533,1.466,1.216,1.052,1.055
7.557,0.7846,0.556,0.2214,0.6238,0.4691,0.3039,0.2287,0.2187
8.359,0.7423,1.095,0.5694,1.829,1.553,1.142,0.8933,0.8718
8.378,0.2215,1.81,0.1955,0.8067,0.7531,0.5757,0.474,0.4629
8.219,0.1675,0.7487,0.6157,1.875,1.825,1.506,1.29,1.263
8.486,0.8419,0.2914,0.7875,1.675,1.183,0.7646,0.5736,0.535
8.318,0.1256,0.2238,0.397,1.297,1.149,0.9018,0.7634,0.7609
8.964,0.7766,0.7477,0.7473,2.175,1.809,1.292,1.006,0.9574
7.246,0.5795,1.387,0.6166,1.616,1.43,1.096,0.9188,0.9214
8.093,0.2205,1.655,0.4038,1.405,1.309,1.037,0.8707,0.8859
7.356,0.6331,1.966,0.5641,1.457,1.328,1.011,0.8607,0.8695
7.91,0.4556,0.3752,0.3587,1.016,0.8332,0.5961,0.4732,0.4581
8.841,0.231,0.7344,0.3475,1.289,1.161,0.8933,0.7461,0.7231
7.151,0.3982,1.601,0.4747,1.143,1.089,0.8597,0.7335,0.7504
8.591,0.4453,1.489,0.7225,2.247,2.094,1.648,1.377,1.348
7.434,0.2914,0.9433,0.2522,0.7568,0.6776,0.5177,0.4336,0.4342
8.233,0.5533,0.3709,0.6257,1.757,1.344,0.9536,0.7484,0.7319
8.329,0.373,0.7001,0.3706,1.223,1.065,0.805,0.6593,0.6473
7.441,0.2924,1.071,0.3811,1.17,1.071,0.8273,0.7025,0.7084
7.11,0.1422,0.6107,0.4492,1.089,1.045,0.8379,0.7423,0.7689
8.569,0.8285,0.2979,0.4737,1.173,0.821,0.538,0.3977,0.3701
8.027,0.5316,1.953,0.3434,1.112,1.006,0.7799,0.6484,0.6345
8.275,0.6211,0.7656,0.4556,1.353,1.153,0.822,0.6558,0.6213
7.603,0.2789,0.9316,0.2558,0.7439,0.6914,0.5327,0.4444,0.4451
7.823,0.7355,1.583,0.204,0.7809,0.6471,0.4579,0.366,0.3564
8.307,0.5237,1.497,0.2224,0.9623,0.8499,0.6173,0.4991,0.4753
8.369,0.7817,1.65,0.4511,1.366,1.218,0.9093,0.7325,0.7111
7.177,0.6105,0.3204,0.6046,1.19,0.8881,0.6307,0.5097,0.5045
7.783,0.29,1.146,0.1246,0.4976,0.4452,0.3146,0.2476,0.2419
8.19,0.1909,1.624,0.7202,2.062,2.032,1.697,1.471,1.471
8.646,0.2732,1.131,0.1699,0.8445,0.7462,0.5337,0.4242,0.3997
8.309,0.5524,0.8359,0.762,2.181,1.893,1.443,1.182,1.152
8.528,0.425,0.4065,0.6282,2.006,1.626,1.2,0.9583,0.9262
8.787,0.2333,0.4106,0.1254,0.8037,0.671,0.4677,0.3459,0.3316
8.058,0.8597,0.7857,0.1023,0.5496,0.4317,0.2709,0.1916,0.1751
7.227,0.6646,1.727,0.2788,0.7897,0.7092,0.5284,0.4286,0.4345
7.517,0.5462,1.249,0.3556,1.092,0.9408,0.6983,0.577,0.5835
8.47,0.1583,0.1736,0.7593,1.975,1.867,1.505,1.269,1.269
7.974,0.4047,1.21,0.3505,1.356,1.166,0.8753,0.7296,0.7131
7.767,0.6884,1.444,0.6401,1.776,1.566,1.199,0.9857,0.9737
7.728,0.534,0.5534,0.6162,1.624,1.365,1.012,0.8072,0.806
7.989,0.863,0.4032,0.2951,0.8624,0.5895,0.3812,0.2823,0.2626
7.059,0.7648,0.8446,0.6239,1.355,1.096,0.7955,0.6498,0.6429
8.209,0.6449,1.849,0.5821,1.606,1.514,1.18,0.972,0.9659
7.304,0.2846,0.4674,0.455,1.073,0.9612,0.7629,0.6405,0.6554
7.527,0.5946,0.4439,0.6494,1.536,1.215,0.8951,0.7125,0.7003
8.114,0.7771,1.226,0.3632,1.246,1.01,0.7188,0.5683,0.5493
8.148,0.412,0.1786,0.5812,1.404,1.115,0.8058,0.648,0.624
7.257,0.1521,0.5765,0.1122,0.5601,0.4655,0.3313,0.2629,0.2612
7.451,0.6248,1.406,0.4177,1.158,1.004,0.7449,0.6207,0.616
8.92,0.7695,1.738,0.3098,1.376,1.159,0.8468,0.651,0.6241
7.667,0.5578,1.419,0.2044,0.8179,0.6888,0.4795,0.3852,0.3789
8.004,0.7454,1.837,0.4372,1.342,1.16,0.8728,0.7129,0.7094
7.384,0.5193,0.2291,0.7946,1.897,1.367,0.9559,0.7628,0.7632
8.389,0.7183,0.4447,0.7455,2.224,1.593,1.091,0.8512,0.7977
8.304,0.8707,1.345,0.2305,0.9216,0.7508,0.5173,0.3869,0.3679
7.249,0.2446,0.7357,0.3106,0.7692,0.7151,0.5589,0.4712,0.4839
8.898,0.5753,1.414,0.5595,1.819,1.638,1.233,1.036,0.9905
7.854,0.4065,1.424,0.7661,2.014,1.897,1.526,1.318,1.303
7.452,0.2422,0.5273,0.3214,1.01,0.8742,0.6524,0.5473,0.5551
7.087,0.5107,0.5389,0.2722,0.7319,0.5767,0.4011,0.3281,0.3279
8.086,0.6522,0.991,0.3194,1.091,0.9032,0.6495,0.5097,0.5038
8.761,0.3947,0.7646,0.7262,2.133,1.958,1.532,1.286,1.262
8.255,0.196,0.3368,0.6048,1.717,1.616,1.282,1.099,1.084
8.49,0.5721,0.5945,0.6948,1.99,1.665,1.191,0.9574,0.918
8.969,0.2911,0.4342,0.4204,1.459,1.288,0.9751,0.7823,0.7483
8.375,0.4481,0.521,0.6625,2.132,1.832,1.37,1.097,1.077
7.581,0.1832,1.537,0.1885,0.6684,0.6113,0.4721,0.3867,0.3924
8.91,0.5014,1.389,0.1929,0.9475,0.8207,0.5773,0.4464,0.4122
8.641,0.6558,1.551,0.6232,1.955,1.733,1.333,1.074,1.052
7.079,0.5749,0.3866,0.3759,0.8859,0.6701,0.4719,0.3779,0.3785
7.29,0.5698,0.1602,0.7199,1.334,0.9534,0.6504,0.5162,0.5026
7.331,0.8913,1.599,0.3412,0.9096,0.7817,0.5775,0.4573,0.4551
8.313,0.3295,1.051,0.7988,2.256,2.072,1.67,1.408,1.392
8.081,0.681,1.21,0.215,0.8522,0.7217,0.4936,0.3856,0.3701
8.362,0.3706,1.45,0.6296,1.921,1.836,1.462,1.243,1.229
8.157,0.3819,0.5659,0.3618,1.17,1.011,0.7553,0.6086,0.5917
7.578,0.6948,0.3396,0.7358,1.417,1.046,0.7126,0.5587,0.5492
7.198,0.1741,0.1149,0.67,1.571,1.402,1.105,0.9458,0.9471
7.479,0.4291,0.1257,0.7394,1.338,1.034,0.7314,0.5992,0.5889
7.935,0.3796,0.7302,0.1158,0.5295,0.4466,0.2993,0.2272,0.2189
7.392,0.8042,1.808,0.7612,1.769,1.594,1.242,1.024,1.02
8.54,0.7272,1.025,0.7328,2.078,1.755,1.284,1.029,0.9941
7.645,0.3353,0.6744,0.5058,1.462,1.284,0.9748,0.8164,0.8264
7.995,0.2524,1.506,0.7183,1.986,1.959,1.567,1.343,1.348
7.13,0.3911,1.658,0.6363,1.551,1.473,1.201,1.04,1.049
8.211,0.1237,0.4352,0.2101,0.8571,0.7713,0.5755,0.4683,0.4619
8.442,0.3489,1.501,0.1127,0.6897,0.5803,0.4043,0.3108,0.2912
8.81,0.6437,0.5809,0.4434,1.427,1.178,0.8283,0.6422,0.6086
8.694,0.7948,1.553,0.3883,1.577,1.331,0.9381,0.7463,0.7084
7.918,0.2371,0.2517,0.2669,0.8201,0.7209,0.5318,0.4284,0.4199
8.917,0.5683,1.983,0.1627,0.913,0.7919,0.5559,0.428,0.4005
7.295,0.4862,0.9107,0.3015,0.8811,0.7471,0.545,0.4411,0.4463
7.235,0.31,1.451,0.7513,1.638,1.643,1.348,1.188,1.201
8.503,0.6351,0.8201,0.3987,1.218,1.031,0.7371,0.5825,0.5522
8.138,0.6183,1.524,0.2356,0.8902,0.7479,0.5417,0.4329,0.4235
7.898,0.894,1.307,0.4601,1.327,1.092,0.7688,0.606,0.5902
7.013,0.3589,0.2733,0.2018,0.5353,0.4388,0.3082,0.2492,0.2521
7.539,0.1032,0.367,0.5147,1.369,1.303,1.102,0.9571,0.9727
7.597,0.1326,1.976,0.1561,0.6359,0.5712,0.4365,0.3624,0.3576
8.696,0.428,1.473,0.5279,1.873,1.692,1.349,1.123,1.089
8.99,0.8774,1.346,0.6352,1.913,1.668,1.238,0.9637,0.9276
8.315,0.6532,0.4901,0.168,0.6471,0.5042,0.3346,0.2413,0.2269
8.396,0.5179,0.158,0.1238,0.4937,0.375,0.232,0.1622,0.1483
8.712,0.6744,1.364,0.3267,1.481,1.281,0.9092,0.7186,0.6841
7.178,0.6138,0.7317,0.6646,1.665,1.358,0.9912,0.8191,0.8124
8.893,0.8497,0.2827,0.1312,0.5961,0.4503,0.2727,0.1814,0.1577
7.754,0.1603,0.2799,0.1303,0.5734,0.5017,0.3543,0.2804,0.2763
8.608,0.2009,1.733,0.1633,0.7706,0.695,0.5067,0.4076,0.393
7.216,0.5504,0.824,0.7193,1.608,1.372,1.049,0.8811,0.8734
8.391,0.1149,1.176,0.5798,1.813,1.822,1.466,1.282,1.288
8.107,0.1951,1.216,0.3922,1.212,1.163,0.9338,0.7868,0.7892
8.747,0.4169,0.2413,0.3836,1.135,0.8855,0.6306,0.5014,0.4743
7.019,0.1691,1.376,0.7175,1.523,1.549,1.308,1.149,1.18
8.59,0.2061,0.3976,0.2283,1.009,0.8208,0.5972,0.466,0.4565
7.724,0.4399,1.196,0.287,0.9793,0.8524,0.6375,0.5202,0.5147
8.468,0.1274,0.1615,0.3403,1.197,1.067,0.8259,0.682,0.6652
7.454,0.8039,0.8154,0.3358,0.827,0.679,0.4716,0.3673,0.3615
7.132,0.5412,0.4222,0.5036,1.075,0.8683,0.6157,0.5038,0.4963
8.399,0.8449,1.701,0.3165,1.028,0.8752,0.6262,0.4932,0.4674
7.672,0.1547,0.8125,0.1054,0.4381,0.3936,0.2734,0.2157,0.2125
7.282,0.1223,0.4962,0.5882,1.575,1.547,1.307,1.135,1.174
8.52,0.5127,1.039,0.2759,1.032,0.8891,0.6427,0.513,0.4849
8.2,0.7248,0.8096,0.3801,1.146,0.9357,0.6548,0.5144,0.4974
8.571,0.5389,1.798,0.2885,1.085,0.983,0.7318,0.5853,0.5703
7.7,0.5514,1.36,0.7734,1.928,1.721,1.364,1.172,1.163
7.23,0.7526,0.6023,0.6775,1.477,1.14,0.8297,0.663,0.6602
8.53,0.2708,1.854,0.1451,0.8055,0.6953,0.5021,0.3884,0.373
8.031,0.1262,1.682,0.3609,1.243,1.167,0.9393,0.8098,0.8076
8.088,0.3916,1.231,0.6794,1.973,1.804,1.453,1.221,1.211
8.345,0.4745,1.783,0.5856,1.766,1.639,1.286,1.077,1.07
7.861,0.2996,0.8622,0.4366,1.257,1.16,0.8922,0.7514,0.7478
8.062,0.8911,1.633,0.4611,1.388,1.177,0.8464,0.6925,0.6698
8.194,0.8729,1.762,0.2998,1.09,0.919,0.6527,0.5103,0.4927
8.013,0.3382,1.042,0.7154,1.921,1.794,1.418,1.214,1.205
8.92,0.4927,1.059,0.5773,1.787,1.631,1.244,1.023,0.9929
7.126,0.3724,1.628,0.2098,0.6295,0.5687,0.4378,0.3669,0.3703
7.573,0.188,0.1484,0.5632,1.568,1.396,1.109,0.9374,0.9464
7.488,0.3413,1.801,0.5972,1.619,1.526,1.227,1.064,1.074
7.658,0.2934,0.8331,0.7522,1.996,1.927,1.525,1.297,1.297
7.148,0.2944,0.9655,0.5051,1.304,1.24,0.9788,0.8429,0.8536
8.284,0.4967,0.7874,0.7809,2.077,1.822,1.391,1.151,1.137
8.366,0.6566,1.435,0.6855,2.096,1.883,1.44,1.172,1.129
7.75,0.2066,0.8651,0.2031,0.7175,0.6566,0.4864,0.3984,0.4013
8.132,0.6611,0.6501,0.6481,1.805,1.451,1.022,0.8086,0.7899
8.707,0.1659,0.395,0.5082,1.51,1.446,1.151,0.9664,0.9699
7.026,0.1195,0.6139,0.1293,0.4318,0.3821,0.2797,0.2317,0.2339
7.759,0.3715,1.767,0.7305,1.928,1.866,1.52,1.307,1.319
7.749,0.1498,1.167,0.144,0.5922,0.5301,0.3881,0.315,0.3163
8.56,0.1294,1.607,0.1817,0.8039,0.7509,0.5704,0.4641,0.4527
7.571,0.7909,0.4613,0.1219,0.4737,0.3367,0.2102,0.1528,0.1436
7.652,0.64,0.6332,0.153,0.5475,0.4393,0.2891,0.2183,0.2105
7.621,0.3079,0.705,0.6768,1.931,1.698,1.345,1.132,1.152
8.454,0.8755,1.56,0.7633,2.239,1.947,1.454,1.18,1.111
8.35,0.4201,0.1333,0.7222,1.767,1.34,0.9753,0.7775,0.7481
7.009,0.6979,0.1381,0.7564,1.155,0.7355,0.4842,0.372,0.3614
7.981,0.5905,0.4559,0.4678,1.243,1.003,0.7142,0.5638,0.5404
7.531,0.6654,0.9136,0.5548,1.327,1.165,0.8603,0.6975,0.6967
8.433,0.5695,0.2006,0.1228,0.5513,0.417,0.2563,0.1792,0.1639
8.454,0.6035,1.895,0.6683,1.887,1.763,1.429,1.219,1.194
7.882,0.3621,0.4368,0.2793,0.9284,0.7713,0.5378,0.44,0.424
7.319,0.8096,0.7383,0.6217,1.357,1.051,0.7368,0.5952,0.5856
8.956,0.6483,1.855,0.4927,1.736,1.585,1.203,0.9752,0.9391
7.718,0.5887,1.566,0.493,1.342,1.226,0.9359,0.7973,0.7831
8.273,0.8787,0.206,0.2401,0.7566,0.4902,0.289,0.2028,0.1852
7.708,0.1455,0.8753,0.6533,1.838,1.768,1.474,1.286,1.296
7.88,0.7381,1.165,0.3323,1.209,0.9791,0.7037,0.5595,0.5454
7.544,0.3654,1.015,0.1368,0.5743,0.4952,0.3509,0.2795,0.2752
8.613,0.8141,1.85,0.3491,1.356,1.138,0.8311,0.6532,0.6237
7.294,0.6408,1.72,0.4258,1.213,1.071,0.8078,0.6777,0.6815
7.5,0.1373,0.1878,0.7626,1.703,1.669,1.382,1.189,1.211
8.586,0.5285,1.458,0.3962,1.362,1.207,0.9097,0.7432,0.7262
8.124,0.685,1.971,0.5249,1.542,1.437,1.097,0.9064,0.8945
8.984,0.8481,1.38,0.6836,2.168,1.914,1.394,1.118,1.06
7.741,0.5927,1.916,0.5907,1.829,1.661,1.276,1.058,1.065
8.113,0.4383,1.129,0.1387,0.6787,0.5725,0.3976,0.3053,0.2927
8.953,0.4442,1.784,0.1015,0.6268,0.5732,0.3924,0.2955,0.28
8.934,0.2478,1.828,0.596,2.099,2.009,1.613,1.382,1.356
8.38,0.4128,1.904,0.4587,1.373,1.34,1.047,0.8838,0.8656
8.153,0.7282,0.4891,0.1935,0.7284,0.531,0.3437,0.2526,0.239
7.694,0.1314,1.89,0.5142,1.437,1.438,1.196,1.04,1.048
8.628,0.4211,0.7448,0.1922,0.7787,0.6709,0.4712,0.3718,0.3491
7.925,0.8199,1.318,0.6519,1.72,1.48,1.103,0.9107,0.8958
7.81,0.3633,1.455,0.1637,0.6084,0.5476,0.407,0.3226,0.317
7.14,0.192,0.4474,0.1714,0.5312,0.4793,0.3626,0.2926,0.295
7.1,0.3198,0.2605,0.1832,0.537,0.4319,0.3077,0.2442,0.2474
7.46,0.5981,1.794,0.5325,1.409,1.307,1.025,0.8559,0.8577
8.079,0.3206,0.104,0.3945,0.9246,0.7627,0.5418,0.4375,0.4257
8.199,0.4742,1.996,0.2163,0.8969,0.7847,0.5861,0.4682,0.4554
8.267,0.6996,0.7005,0.239,0.9299,0.7336,0.4882,0.3772,0.3524
8.195,0.7796,1.405,0.4516,1.422,1.214,0.8746,0.6963,0.6818
8.779,0.4513,1.909,0.6423,2.015,1.938,1.545,1.284,1.263
7.662,0.6547,1.012,0.4639,1.325,1.108,0.7896,0.6404,0.634
7.543,0.1108,1.217,0.1399,0.552,0.5059,0.3732,0.3116,0.3128
7.523,0.2695,1.368,0.2124,0.7289,0.6694,0.501,0.4127,0.4154
7.12,0.3403,1.986,0.636,1.521,1.429,1.2,1.018,1.062
8.659,0.8537,0.3793,0.3755,1.178,0.8028,0.5134,0.366,0.3384
7.554,0.1128,1.298,0.5678,1.677,1.682,1.365,1.204,1.221
7.614,0.8689,1.73,0.6184,1.759,1.494,1.129,0.921,0.9084
7.786,0.1826,0.2264,0.2957,1.278,1.024,0.7553,0.6081,0.6009
8.739,0.6764,1.285,0.6245,1.994,1.804,1.335,1.09,1.052
7.61,0.8783,0.7077,0.1647,0.5625,0.4053,0.265,0.1938,0.186
7.787,0.3321,0.9822,0.7872,2.164,1.987,1.601,1.37,1.383
7.006,0.4914,1.861,0.6698,1.5,1.413,1.152,0.9901,1.024
8.188,0.563,0.3421,0.7908,2.07,1.609,1.154,0.9093,0.8759
7.881,0.8427,0.1224,0.3671,0.6561,0.4167,0.2513,0.177,0.1642
7.85,0.6693,0.2019,0.4104,1.042,0.7123,0.4661,0.3508,0.3306
7.254,0.8328,0.3558,0.55,1.137,0.7819,0.5028,0.388,0.3825
8.928,0.1508,1.004,0.207,0.9443,0.8613,0.6559,0.5205,0.5103
7.518,0.704,1.363,0.7097,1.752,1.564,1.202,0.9935,0.988
8.043,0.2554,0.715,0.5134,1.502,1.402,1.124,0.947,0.9517
7.98,0.637,1.475,0.6804,2.034,1.798,1.388,1.143,1.108
7.971,0.2108,1.082,0.2454,0.9399,0.8454,0.6367,0.5325,0.5263
7.42,0.8954,1.787,0.611,1.604,1.423,1.056,0.8752,0.8805
7.054,0.1087,0.7892,0.5465,1.361,1.344,1.097,0.9765,1.004
8.474,0.3632,0.7436,0.2746,1.162,0.9882,0.7163,0.5595,0.5432
7.112,0.7562,1.897,0.3064,0.797,0.7007,0.5183,0.4257,0.4271
7.279,0.6311,0.6426,0.7406,1.968,1.525,1.108,0.8873,0.8877
7.056,0.1667,0.4811,0.499,1.209,1.128,0.9102,0.789,0.8027
8.332,0.3318,1.59,0.3448,1.151,1.074,0.8285,0.6849,0.6768
8.514,0.6427,0.6259,0.269,1.002,0.7967,0.5465,0.4106,0.3924
7.959,0.5455,0.1519,0.7337,1.443,1.022,0.704,0.5542,0.5379
8.165,0.7977,1.832,0.7426,2.011,1.828,1.397,1.154,1.131
7.701,0.4374,1.878,0.6484,1.809,1.662,1.343,1.148,1.148
7.815,0.4538,1.618,0.6303,1.996,1.797,1.408,1.176,1.179
8.813,0.1886,1.078,0.4972,1.672,1.573,1.269,1.065,1.061
7.035,0.2835,0.7747,0.2156,0.7054,0.6172,0.4471,0.3695,0.3713
8.661,0.114,0.9721,0.6138,2.118,2.067,1.7,1.431,1.425
8.326,0.2127,1.41,0.3464,1.297,1.209,0.9497,0.7937,0.7809
7.09,0.3994,1.054,0.6105,1.304,1.232,0.9852,0.8576,0.8603
8.235,0.2817,1.958,0.6716,1.939,1.91,1.573,1.38,1.392
7.904,0.7554,1.441,0.3309,1.003,0.8652,0.6293,0.4962,0.4846
8.525,0.3578,1.873,0.6821,2.073,1.966,1.625,1.376,1.374
8.852,0.2962,1.365,0.2615,1.183,1.062,0.7955,0.6493,0.6304
8.169,0.2543,0.5306,0.2315,0.8325,0.736,0.5512,0.444,0.4345
8.484,0.5261,1.515,0.6008,1.833,1.696,1.317,1.087,1.064
7.802,0.6931,0.8711,0.6311,1.634,1.385,0.9978,0.8032,0.7859
7.097,0.165,0.473,0.6986,1.559,1.539,1.26,1.093,1.124
7.928,0.6227,0.5991,0.685,1.8,1.436,1.036,0.8285,0.8124
8.876,0.2597,1.754,0.43,1.58,1.523,1.202,1.022,0.998
7.669,0.8523,1.78,0.5264,1.399,1.211,0.906,0.7364,0.7259
7.163,0.5865,1.416,0.3456,0.9648,0.8334,0.6301,0.5193,0.5186
8.65,0.5216,1.596,0.1877,0.7757,0.701,0.5209,0.4064,0.3872
7.444,0.4847,1.392,0.7453,1.892,1.743,1.395,1.182,1.198
7.344,0.2946,1.881,0.5613,1.445,1.418,1.147,1.015,1.024
8.789,0.8561,1.699,0.1336,0.7848,0.6226,0.4107,0.3092,0.2843
7.014,0.8164,1.337,0.6737,1.632,1.419,1.054,0.8824,0.8726
7.169,0.6069,0.5234,0.4315,1.13,0.8938,0.6142,0.4912,0.4898
7.778,0.3265,0.4048,0.5965,1.434,1.289,1.001,0.8257,0.8309
8.829,0.6023,1.192,0.48,1.735,1.473,1.112,0.887,0.8628
8.601,0.8021,0.3263,0.2137,0.7767,0.5521,0.3446,0.2442,0.2189
8.802,0.471,1.019,0.3233,1.232,1.064,0.7892,0.6339,0.6003
8.619,0.7121,1.562,0.7801,2.47,2.18,1.684,1.357,1.308
7.212,0.5934,1.519,0.1544,0.5007,0.4386,0.3219,0.2576,0.2593
8.179,0.1997,1.267,0.1299,0.5929,0.5367,0.3894,0.3103,0.3018
